Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7465,0.02230,5.66350e+01,1.85807e-06,1659850228.0277476
55.0,54.7471,0.02230,5.66348e+01,1.87147e-06,1659850230.0407343
55.0,54.7474,0.02230,5.66346e+01,1.87973e-06,1659850232.056337
55.0,54.7462,0.02230,5.66338e+01,1.87395e-06,1659850234.067807
55.0,54.7464,0.02230,5.66339e+01,1.87545e-06,1659850236.0888455
55.0,54.7461,0.02230,5.66338e+01,1.87206e-06,1659850238.110955
55.0,54.7471,0.02230,5.66322e+01,1.91515e-06,1659850240.1240637
55.0,54.7464,0.02230,5.66308e+01,1.92754e-06,1659850242.1389496
55.0,54.7467,0.02230,5.66311e+01,1.92756e-06,1659850244.1477103
55.0,54.7471,0.02230,5.66317e+01,1.92301e-06,1659850246.1633058
55.0,54.7466,0.02230,5.66338e+01,1.88004e-06,1659850248.173235
55.0,54.7479,0.02230,5.66355e+01,1.87439e-06,1659850250.191824
55.0,54.7471,0.02230,5.66344e+01,1.87947e-06,1659850252.2078834
55.0,54.747,0.02230,5.66345e+01,1.87607e-06,1659850254.2296665
55.0,54.7467,0.02230,5.66342e+01,1.87628e-06,1659850256.2495914
55.0,54.7476,0.02230,5.66347e+01,1.88176e-06,1659850258.2721672
55.0,54.7478,0.02230,5.66344e+01,1.89076e-06,1659850260.2921865
55.0,54.7466,0.02230,5.66304e+01,1.93640e-06,1659850262.309948
55.0,54.7474,0.02230,5.66315e+01,1.93149e-06,1659850264.3229253
55.0,54.7473,0.02230,5.66340e+01,1.88904e-06,1659850266.351484
55.0,54.7467,0.02230,5.66302e+01,1.94166e-06,1659850268.36394
55.0,54.7473,0.02230,5.66310e+01,1.93832e-06,1659850270.3830266
55.0,54.7473,0.02230,5.66308e+01,1.94181e-06,1659850272.3995268
55.0,54.7467,0.02230,5.66306e+01,1.93514e-06,1659850274.4149513
55.0,54.7466,0.02230,5.66303e+01,1.93921e-06,1659850276.4285915
55.0,54.7478,0.02230,5.66317e+01,1.93626e-06,1659850278.4520488
55.0,54.7463,0.02230,5.66297e+01,1.94338e-06,1659850280.4666986
55.0,54.7472,0.02230,5.66340e+01,1.88714e-06,1659850282.4881227
55.0,54.7478,0.02230,5.66346e+01,1.88782e-06,1659850284.5037713
55.0,54.7478,0.02230,5.66348e+01,1.88371e-06,1659850286.5187342
55.0,54.7452,0.02230,5.66320e+01,1.88737e-06,1659850288.528441
55.0,54.7467,0.02230,5.66327e+01,1.90131e-06,1659850290.538752
55.0,54.748,0.02230,5.66338e+01,1.90386e-06,1659850292.5590034
55.0,54.7468,0.02230,5.66333e+01,1.89215e-06,1659850294.579661
55.0,54.7477,0.02230,5.66333e+01,1.90781e-06,1659850296.589356
55.0,54.7474,0.02230,5.66323e+01,1.91951e-06,1659850298.6128957
55.0,54.7476,0.02230,5.66326e+01,1.91715e-06,1659850300.6224837
55.0,54.7473,0.02230,5.66337e+01,1.89464e-06,1659850302.640629
55.0,54.7468,0.02230,5.66329e+01,1.89957e-06,1659850304.6567996
55.0,54.7473,0.02230,5.66295e+01,1.96386e-06,1659850306.672121
55.0,54.7462,0.02230,5.66285e+01,1.96199e-06,1659850308.6880789
55.0,54.7468,0.02230,5.66292e+01,1.96002e-06,1659850310.7111225
